# list of all Wikipedia articles, generated 08:43:10 12-Jan-2014
# Rfam release 11.0, release date 2012-08-14
23S_methyl_RNA_motif	RF01065 
Small_nucleolar_RNA_Z37	RF00055 
Small_nucleolar_RNA_Z39	RF00341 
Small_nucleolar_RNA_Z40	RF00342 
Small_nucleolar_RNA_Z43	RF00330 
Small_nucleolar_SNORD12/SNORD106	RF00581 
SMCR2_(gene)	RF02177 RF02178 
SMK_box_riboswitch	RF01767 
SmY_RNA	RF01616 RF01844 
SnoRNA	RF02406 RF02407 RF02408 RF02409 RF02410 RF02411 RF02412 RF02413 RF02473 RF02474 RF02475 RF02476 RF02477 RF02478 RF02479 RF02480 RF02481 RF02482 RF02483 RF02484 RF02485 RF02486 RF02487 RF02488 RF02489 RF02490 
SOX2OT	RF01951 RF01952 RF01953 RF01954 
speF_leader	RF00518 
Sphinx_(gene)	RF02046 RF02047 
Spi-1_(PU.1)_5'_UTR_regulatory_element	RF00232 
Spot_42_RNA	RF00021 
SprD	RF01828 
SPRY4-IT1	RF02038 RF02039 
SR1_RNA	RF02376 
SraB_RNA	RF00077 
SraC/RyeA_RNA	RF00101 
SraG_RNA	RF00082 
SRG1_RNA	RF01765 
sroB_RNA	RF00368 
sroC_RNA	RF00369 
sroD_RNA	RF00370 
sroE_RNA	RF00371 
sroH_RNA	RF00372 
SscA_RNA	RF00063 
ST7-AS1_(gene)	RF02179 RF02180 
ST7-AS2_(gene)	RF02181 RF02182 
ST7-OT3_(gene)	RF02183 RF02184 RF02185 RF02186 
ST7-OT4_(gene)	RF02187 RF02188 RF02189 RF02190 
STAXI_RNA_motif	RF01728 
Streptococcus_sRNA	RF02418 RF02419 RF02425 RF02426 RF02427 RF02428 RF02429 RF02430 RF02431 RF02432 RF02433 RF02434 RF02435 RF02436 RF02437 RF02438 RF02439 RF02440 RF02441 RF02442 RF02443 RF02444 RF02445 RF02446 RF02447 RF02448 
Structure_and_genome_of_HIV	RF01418 
SucA-II_RNA_motif	RF01758 
SucA_RNA_motif	RF01070 
SucC_RNA_motif	RF01759 
suhB	RF00519 
Sweet_potato_feathery_mottle_virus	RF01091 
Sxy_5'_UTR_element	RF00632 RF02100 
SymE-SymR_toxin-antitoxin_system	RF01809 
T-box_leader	RF00230 
t44_RNA	RF00127 
TCL6_(gene)	RF02191 RF02192 RF02193 
Telomerase_RNA_component	RF00024 RF00025 RF01050 
Termite-flg_RNA_motif	RF01729 
Termite-leu_RNA_motif	RF01730 
Tetrahydrofolate_riboswitch	RF01831 
Threonine_operon_leader	RF00506 
TisB-IstR_toxin-antitoxin_system	RF01400 
Tobacco_etch_virus	RF01102 
Tobamovirus_internal_ribosome_entry_site_(IRES)	RF00225 
Togavirus_5'_plus_strand_cis-regulatory_element	RF00470 
Tombus_virus_defective_interfering_(DI)_RNA_region_3	RF00215 
Tombusvirus_3'_UTR_region_IV	RF00176 
Tombusvirus_5'_UTR	RF00171 
Tombusvirus_internal_replication_element_(IRE)	RF00510 
Toxic_Small_RNA	RF02278 
Toxin-antitoxin_system	RF02083 RF02495 RF02519 
TP53TG1	RF02195 RF02196 
TP73-AS1_(gene)	RF02197 
TPP_riboswitch	RF00059 
TraJ-II_RNA_motif	RF01760 
traJ_5'_UTR	RF00243 
Trans-activating_crRNA	RF02348 
Trans-activation_response_element_(TAR)	RF00250 
Transfer-messenger_RNA	RF00023 RF01849 RF01850 RF01851 
Transfer_RNA	RF00005 RF01852 
Transfer_RNA-like_structures	RF01075 RF01077 RF01084 RF01085 RF01088 RF01101 
TrkB_IRES	RF00547 
Trypanosome_H/ACA_box_snoRNAs	RF01522 RF01523 RF01524 RF01525 RF01531 RF01532 RF01533 RF01534 RF01535 RF01536 RF01537 RF01538 RF01539 RF01540 RF01541 RF01542 RF01543 RF01544 RF01545 RF01546 RF01547 RF01548 RF01549 RF01550 RF01551 RF01552 RF01553 RF01554 RF01555 RF01556 RF01557 RF01558 RF01861 RF01862 RF01863 
Tryptophan_operon_leader	RF00513 RF02370 
TUC338	RF02271 
TUG1	RF01882 RF01883 RF01891 RF01892 
Turnip_crinkle_virus_(TCV)_core_promoter_hairpin_(Pr)	RF00502 
Turnip_crinkle_virus_(TCV)_hairpin_H4	RF02416 
Turnip_crinkle_virus_(TCV)_repressor_of_minus_strand_synthesis_H5	RF00500 
TwoAYGGAY_RNA_motif	RF01731 
TxpA-RatA_toxin-antitoxin_system	RF01776 
Tymovirus/pomovirus_tRNA-like_3'_UTR_element	RF00233 
U11_spliceosomal_RNA	RF00548 
U12_minor_spliceosomal_RNA	RF00007 
U1_spliceosomal_RNA	RF00003 RF02491 
U1A_polyadenylation_inhibition_element_(PIE)	RF00460 
U2_spliceosomal_RNA	RF00004 RF02492 
U4_spliceosomal_RNA	RF00015 RF02493 
U4atac_minor_spliceosomal_RNA	RF00618 
U5_spliceosomal_RNA	RF00020 
U6_spliceosomal_RNA	RF00026 RF02494 
U6atac_minor_spliceosomal_RNA	RF00619 
U7_small_nuclear_RNA	RF00066 
U8_small_nucleolar_RNA	RF00096 
U98_small_nucleolar_RNA	RF00190 
UCA1_(gene)	RF02202 
UnaL2_LINE_3'_element	RF00436 
UPSK_RNA	RF00390 RF01072 RF01080 RF01081 RF01082 RF01083 RF01103 RF01104 RF01105 RF01106 RF01107 RF01108 RF01109 RF01110 RF01111 RF01112 RF01113 RF01114 RF01115 
Ure2_internal_ribosome_entry_site_(IRES)	RF02530 
VA_RNA	RF00102 
Vascular_endothelial_growth_factor_(VEGF)_IRES_A	RF00461 
Vault_RNA	RF00006 
Vax2os1	RF02259 RF02267 RF02272 
Venezuelan_equine_encephalitis_virus	RF01841 
Vg1_ribozyme	RF01865 
Vibrio_cholerae_ToxT_activated_RNAs	RF02537 RF02538 
Vibrio_regulatory_RNA_of_OmpA	RF01456 
Vimentin_3'_UTR_protein-binding_region	RF00109 
VIS1_(gene)	RF01992 
Visna_virus	RF01840 
Voltage-gated_potassium-channel_Kv1.4_IRES	RF00447 
VR-RNA	RF02417 
WcaG_RNA_motif	RF01761 
West_Nile_virus	RF01768 
Western_equine_encephalitis_virus	RF01836 
Whalefall-1_RNA_motif	RF01762 
Wingless_localisation_element_3_(WLE3)	RF01046 
WT1-AS_(gene)	RF02203 RF02204 RF02205 RF02206 RF02207 RF02208 RF02209 RF02210 
Xanthomonas_sRNA	RF02221 RF02222 RF02223 RF02224 RF02225 RF02226 RF02227 RF02228 RF02229 RF02230 RF02231 RF02232 RF02233 RF02234 RF02235 RF02236 RF02237 RF02238 RF02239 RF02240 RF02241 RF02242 RF02243 
XIST_(gene)	RF01880 RF01881 RF02266 
Y_RNA	RF00019 RF01053 
Yar_(gene)	RF02085 RF02086 RF02087 
ybhL_leader	RF00520 
ydaO/yuaA_leader	RF00379 
Yeast_U1_spliceosomal_RNA	RF00488 
Yfr1	RF01116 
Yfr2	RF01701 
YjdF_RNA_motif	RF01764 
YkkC-yxkD_leader	RF00442 RF01763 
ykoK_leader	RF00380 
ylbH_leader	RF00516 
yybP-ykoY_leader	RF00080 
Z12_small_nucleolar_RNA	RF00289 
Z18_small_nucleolar_RNA	RF00284 
Z30_small_nucleolar_RNA	RF00288 
Z6_small_nucleolar_RNA	RF00285 
ZEB2-AS1	RF01984 RF01985 RF01986 RF01987 
ZFAT-AS1_(gene)	RF02211 RF02212 RF02213 
ZNFX1-AS1_(gene)	RF02215 RF02216 RF02217 
ZNRD1-AS1_(gene)	RF02218 RF02219 RF02220 
